"統一編號","商業名稱","商業地址","登記狀態"
"10716813","明駿犬舍","臺南市北區大道里北門路2段580號1樓","歇業／撤銷"
"10730548","吉貓園店","嘉義市西區永和里民族路８２９號一樓","歇業／撤銷"
"10733051","金企寵物生活館","臺南市北區大和里文賢路807號1樓","核准設立"
"10755553","逢瑩犬舍","臺東縣臺東市岩灣里新站路二０四號一樓","廢止"
"10762230","紫愛寵物主題館","臺南市東區大福里大同路2段243號1樓","歇業／撤銷"
"10790897","米琦寵物百貨店","臺南市永康區南灣里大灣路610號2樓","歇業／撤銷"
"10811437","軒園水族行","嘉義市西區湖內里南京路１２５號一樓","歇業／撤銷"
"10829020","高山犬舍","臺南市善化區牛庄里牛庄131之3號","停業"
"10840236","寵物新貴生活館","臺南市新市區新和里中正路192號1樓","核准設立"
"10842516","喜多麗愛犬屋","臺南市佳里區建南里平等街183號","歇業／撤銷"
"10852529","金莎格格寵物店","臺南市北區東興里小東路297之2號1、2樓","歇業／撤銷"
"10854809","愛享家寵物樂活館","臺南市東區龍山里東門路2段158巷16號1樓","核准設立"
"10856665","中美和緯寵物生活館","臺南市北區成德里和緯路2段231號2樓","核准設立"
"10858474","幸福寵物自助澡堂舘","臺南市南區廣州里福吉二街88號1樓","核准設立"
"10859712","汪汪寵物狗美容澡堂","臺南市安南區原佃里安中路2段92號1樓","歇業／撤銷"
"10861528","寵物哲學自助澡堂生活舘","臺南市東區大福里大同路2段243號1樓","歇業／撤銷"
"10861610","艾妮寵物生活館","臺南市南區金華里中華西路1段248號1樓、B1","歇業／撤銷"
"10864617","東京精緻寵物生活館","臺南市東區東光里東興路32號1樓","歇業／撤銷"
"10867641","上愛犬舍","臺南市安南區安東里安和路1段178號1樓","核准設立"
"10876867","凱凱寵物館","臺南市中西區三合里成功路383號","核准設立"
"10881094","蠻牛鬥牛犬舍","臺南市北區文元里文賢二街486號","停業"
"10893795","熊寶寶貴賓專賣店","屏東縣潮州鎮五魁里杭州街一七三號一樓","歇業／撤銷"
"10901612","新樂園水族館","雲林縣斗南鎮田頭里延平北路243號","核准設立"
"10926091","幸儀犬舍","臺中市潭子區福仁里復興路1段2之3號","核准設立"
"10949448","中信寵物","彰化縣鹿港鎮東石里臨海路3段45號","歇業／撤銷"
"10951838","名將寵物美容名店","彰化縣社頭鄉仁雅村民生路742號1樓","核准設立"
"10962498","華馨寵物生活館","彰化縣彰化市大同里太平街18號","核准設立"
"10975780","水果貓寵物坊","臺中市西區忠明里忠誠街87號","歇業／撤銷"
"10978061","歐藤寵物沙龍","臺中市西區昇平里美村路一段３３０號１樓","核准設立"
"10980762","好狗樣寵物館","臺中市沙鹿區鹿寮里光大路268號1樓","核准設立"
"10986392","富達寵物坊","臺中市太平區宜昌路４３８之１號","核准設立"
"10986766","霹靂神犬寵物沙龍坊","臺中市大里區內新里新南路７４之１號1樓","歇業／撤銷"
"10987033","狗仔隊寵物名店","臺中市大里區瑞城里塗城路567號1樓","核准設立"
"10992768","家寶寵物店","臺中市大里區內新里內新街４７之２號","核准設立"
"10992774","美智寵物店","臺中市潭子區栗林里中山路3段571號","核准設立"
"10993892","歐克名犬館","臺中市后里區眉山里四月路9-2號","歇業／撤銷"
"10994317","潞寅寵物精品百貨","臺中市大里區東昇里內新街157號1樓","歇業／撤銷"
"10994816","祁益犬莊","臺中市沙鹿區南勢里自由路95巷22-23號1樓","核准設立"
"10997807","寵愛水族寵物大賣場","臺中市北屯區水景里東山路一段156之31號","歇業／撤銷"
"10999116","亮晶晶寵物店","臺中市西屯區逢福里文華路53號1樓","歇業／撤銷"
"10999755","多糖寵物生活館","臺中市南屯區大誠里大墩路82號1樓","歇業／撤銷"
"13203730","日發鳥園","臺南市永康區二王里中山南路538號1樓","歇業／撤銷"
"13209087","新寵物鳥世界鳥園","臺南市麻豆區大埕里大埕13之9號1樓","廢止"
"13258306","葉樺鳥行","桃園市龜山區新路里萬壽路二段１０９９號１樓","歇業／撤銷"
"13289785","遠東寵物用品店","彰化縣永靖鄉瑚璉村中山路２段１４５號１樓","核准設立"
"13338168","丹佛企業行","高雄市鳳山區大東一路１２０號","核准設立"
"13345082","海洋之星魚坊","苗栗縣頭份市民族里一一鄰東興路一二六號","歇業／撤銷"
"13371665","三福寵物用品店","新北市泰山區明志路１段４８８號１樓","核准設立"
"13416229","旭海水族商行","臺中市南屯區大同里五權西路２段１７１號","歇業／撤銷"
"13427680","貓語動物專賣店","臺中市豐原區南陽里南陽路２８３號（限一樓）","歇業／撤銷"
"13428914","國際皇家名犬店","臺中市大里區新里里大新街６５號１樓","核准設立"
"13461504","黃金錢豹寵物店","臺北市士林區文林路101巷1號1樓","歇業／撤銷"
"13478358","森心寵物名店","臺北市信義區莊敬路217號1樓","歇業／撤銷"
"13484289","亞馬遜寵物世界","新竹縣竹東鎮三重里中興路１段１８９號１樓","歇業／撤銷"
"13502110","日新犬貓美容坊","新北市三重區福德北路６７號１樓","歇業／撤銷"
"13569408","愛鈊寵物用品店","桃園市桃園區大林里桃鶯路３５９號１樓","歇業／撤銷"
"13580516","立人名鴿園","臺南市安南區頂安里北安路3段100號1樓","歇業／撤銷"
"13581536","進御鴻實業社","臺南市安南區溪心里海佃路3段302號2樓（僅供辦公室使用）","歇業／撤銷"
"13670256","動物園寵物店","宜蘭縣羅東鎮信義里倉前路八二號一樓","核准設立"
"13689852","好狗狗寵物專業美容店","新北市土城區中央路１段１７１號（１樓）","核准設立"
"13723726","施福氣","彰化縣鹿港鎮菜園里三民路一六四號","核准設立"
"13760947","良友寵物店","桃園市平鎮區湧安里自由街１號１樓","歇業／撤銷"
"13796403","犬貓莊","新北市五股區成泰路１段１３５號１樓","停業"
"13803967","鴻翔寵物商行","臺中市太平區東平里東平路４７９號１樓","歇業／撤銷"
"13839260","金犬家莊寵物精品店","新北市八里區龍米路２段１２號１樓","核准設立"
"13839260","金犬家莊寵物精品店","臺北市萬華區中華路1段144之35號及36號","遷他縣市"
"13878349","漂亮寶貝寵物坊","新竹市東區南市里中華路二段六三０號一樓","歇業／撤銷"
"14172968","福安狗園","新北市鶯歌區鶯桃路３９９號１樓","歇業／撤銷"
"14202935","彩虹寵物店","臺東縣臺東市新興里鐵花路八十七巷十三號一樓","歇業／撤銷"
"14218198","海情水族館","苗栗縣頭份市頭份里信東路五九號一樓","歇業／撤銷"
"14257895","艾樂盟寵物百貨行","新北市新店區三民路４３號１樓","歇業／撤銷"
"14258536","全美寵物專業美容店","新北市板橋區陽明街６４號","歇業／撤銷"
"14269668","游旺寵物商行","新北市土城區青雲路９７號（１樓）","歇業／撤銷"
"14312980","金皇家寵物美容百貨坊","臺北市中山區林森北路349之1號1樓","廢止"
"14362046","優美寵物店","臺南市佳里區佳化里佳里興183號","歇業／撤銷"
"14363713","喜多麗愛犬屋","臺南市佳里區建南里平等街183號1樓","歇業／撤銷"
"14363777","什嘴狗貓寵物店","臺南市善化區光文里中山路189之1號1樓","核准設立"
"14380332","安利寵物精品店","桃園市中壢區至善里２４鄰後寮一路２７９號１樓","歇業／撤銷"
"14388720","嘟嘟寵物專賣店","桃園市中壢區光明里民權路２８２號１樓","歇業／撤銷"
"14400999","鴻羽企業社","臺南市安南區海佃里海佃路1段91號1樓","核准設立"
"14415058","喬邁狗美容專業名店","臺中市豐原區中山里府前街１８號一樓","核准設立"
"14431297","波比寵物店","基隆市仁愛區博愛里愛一路９３號１樓","歇業／撤銷"
"14432704","親密伙伴寵物店","基隆市仁愛區玉田里仁三路二七號一樓","歇業／撤銷"
"14461290","宇謙貿易行","高雄市梓官區典寶里海景路３１巷１９弄２６號１樓","停業"
"14464846","娃娃寵物用品店","高雄市鳳山區興仁里五甲一路１９８號１樓","核准設立"
"14466990","鸚鵡叢林寵物店","高雄市鳳山區文衡路３８６號１４樓","核准設立"
"14495221","大眾寵物店","新北市新店區中華路１４號","歇業／撤銷"
"14497115","田園寵物生活館","新北市板橋區實踐路１２６號１樓","歇業／撤銷"
"14580893","明欣寵物鳥坊","臺中市北屯區平和里大連路一段３０４號一樓","歇業／撤銷"
"14582105","萬旺寵物店","臺中市西屯區何厝里西屯路二段41之5號1樓","歇業／撤銷"
"14585095","伊沛斯寵物店","臺中市南屯區田心里向心路１０９號一樓","歇業／撤銷"
"14586685","神奇寶貝寵物美容精品名店","臺中市北屯區北屯里北屯路６０之３號一樓","核准設立"
"14589281","長洋水族館","臺中市南屯區大誠里五權西路二段８０號","歇業／撤銷"
"14589944","鳳翔鳥行","臺中市南屯區田心里五權西路二段４７５號一樓","核准設立"
"14625505","永慶寵物美容專賣店","彰化縣彰化市福安里曉陽路５１號１樓","歇業／撤銷"
